"CLUSTER","gene_name","MEM.SHIP"
1,"CPB2-AS1",0.534478829849733
1,"CPEB2",0.750499548422679
1,"CPEB2-AS1",0.633657607724551
1,"CPEB4",0.683902709061543
1,"CPED1",0.542954638779324
1,"CREB3L1",0.619590858358587
1,"CREBZF",0.683858800437919
1,"CRIM1",0.560163296911831
1,"CRY1",0.528398193696812
1,"CRYGS",0.701636365298007
1,"CRYM-AS1",0.618630736890188
1,"CSAD",0.789952087631102
1,"CSF1",0.766215537226808
1,"CSPG4P8",0.620542766413455
1,"CST7",0.557075754669912
1,"CSTF3",0.787487287161557
1,"CTA-298G8.1",0.585399657394667
1,"CTB-129P6.4",0.944954038431029
1,"CTB-179K24.3",0.654764816487339
1,"CTB-43E15.2",0.521436622278373
1,"CTB-51A17.1",0.506886662865301
1,"CTB-54O9.9",0.547841378963941
1,"CTC-308K20.1",0.714128375676917
1,"CTC-308K20.2",0.667065548515693
1,"CTC-308K20.4",0.695764490725985
1,"CTC-338M12.4",0.530540531023609
1,"CTC-339D2.1",0.650467375836065
1,"CTC-360J11.4",0.868008329829045
1,"CTC-428G20.3",0.756691509311169
1,"CTC-436P18.1",0.712792234386945
1,"CTC-512J12.4",0.77196628232496
1,"CTC-512J12.6",0.861757651598421
1,"CTC-537E7.3",0.541950674455199
1,"CTC-548K16.5",0.818167938514892
1,"CTC-786C10.1",0.703691931649926
1,"CTD-2001C12.1",0.535658918796085
1,"CTD-2023M8.1",0.806272748892201
1,"CTD-2033D15.1",0.816182105114305
1,"CTD-2140B24.4",0.787682820814031
1,"CTD-2145A24.4",0.898684174468465
1,"CTD-2154I11.2",0.68846896822925
1,"CTD-2196E14.6",0.723467351438485
1,"CTD-2203K17.1",0.650173733658062
1,"CTD-2207O23.10",0.749308154075187
1,"CTD-2207O23.3",0.636806473237103
1,"CTD-2215E18.2",0.518382464336353
1,"CTD-2235C13.1",0.726744434253691
1,"CTD-2260A17.1",0.741094627674515
1,"CTD-2265O21.7",0.745727367410451
1,"CTD-2270L9.4",0.729483765601033
1,"CTD-2287O16.5",0.613496069303753
1,"CTD-2292M16.8",0.57763635685884
1,"CTD-2311M21.3",0.608294689537933
1,"CTD-2313J17.1",0.633905243524361
1,"CTD-2330K9.2",0.712347607134668
1,"CTD-2349P21.10",0.634958223819121
1,"CTD-2350C19.1",0.6954811237927
1,"CTD-2354A18.1",0.607882841554381
1,"CTD-2358C21.4",0.898639109131504
1,"CTD-2369P2.5",0.697098126621593
