gene_name,go_term
 dltC,GO:0009099
 glr,GO:0009097
 glr,GO:0009098
 glr,GO:0009099
 murD,GO:0009097
 murD,GO:0009098
 murD,GO:0009099
alr,GO:0009085
 ddlA,GO:0009085
 dltA,GO:0009085
 dltC,GO:0009085
 glr,GO:0009085
 murD,GO:0009085
alr,GO:0006554
 ddlA,GO:0006554
 dltA,GO:0006554
 dltC,GO:0006554
 glr,GO:0006554
 murD,GO:0006554
alr,GO:0006525
alr,GO:0006560
 ddlA,GO:0006525
 ddlA,GO:0006560
 dltA,GO:0006525
 dltA,GO:0006560
 dltC,GO:0006525
 dltC,GO:0006560
 glr,GO:0006525
 glr,GO:0006560
 murD,GO:0006525
 murD,GO:0006560
alr,GO:1901769
 ddlA,GO:1901769
 dltA,GO:1901769
 dltC,GO:1901769
 glr,GO:1901769
 murD,GO:1901769
alr,GO:0043639
 dltA,GO:0043639
 dltC,GO:0043639
 murI,GO:0043639
 murD,GO:0043639
alr,GO:0009094
alr,GO:0006571
alr,GO:0000162
 dltA,GO:0009094
 dltA,GO:0006571
 dltA,GO:0000162
 dltC,GO:0009094
 dltC,GO:0006571
 dltC,GO:0000162
 murI,GO:0009094
 murI,GO:0006571
 murI,GO:0000162
 murD,GO:0009094
 murD,GO:0006571
 murD,GO:0000162
alr,GO:0019530
 dltA,GO:0019530
 dltC,GO:0019530
 murI,GO:0019530
 murD,GO:0019530
alr,GO:0033052
alr,GO:0019756
 dltA,GO:0033052
 dltA,GO:0019756
 dltC,GO:0033052
 dltC,GO:0019756
 murI,GO:0033052
 murI,GO:0019756
 murD,GO:0033052
 murD,GO:0019756
alr,GO:0046416
 dltA,GO:0046416
 dltC,GO:0046416
 murI,GO:0046416
 murD,GO:0046416
alr,GO:0006749
 dltA,GO:0006749
 dltC,GO:0006749
 murI,GO:0006749
 murD,GO:0006749
alr,GO:0005982
alr,GO:0005985
 dltA,GO:0005982
 dltA,GO:0005985
 dltC,GO:0005982
 dltC,GO:0005985
 murI,GO:0005982
 murI,GO:0005985
 murD,GO:0005982
 murD,GO:0005985
alr,GO:0006040
alr,GO:0009225
 ddlA,GO:0006040
 ddlA,GO:0009225
 dltA,GO:0006040
 dltA,GO:0009225
 glr,GO:0006040
 glr,GO:0009225
 murD,GO:0006040
 murD,GO:0009225
alr,GO:0019872
 ddlA,GO:0019872
 dltA,GO:0019872
 dltC,GO:0019872
 glr,GO:0019872
 murD,GO:0019872
alr,GO:0046486
 ddlA,GO:0046486
 dltA,GO:0046486
 dltC,GO:0046486
 glr,GO:0046486
 murD,GO:0046486
